org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents,cluster,anomaly
Hospital,Large,23,1-50,Daily,True,63.3,True,False,64,Exploited Vulnerability,False,36.28,2,0,0
Pharma,Medium,4,50-350,Daily,False,59.05,True,True,28,Exploited Vulnerability,True,57.66,6,0,0
Research Lab,Small,18,350+,Daily,True,90.0,True,False,49,Phishing Email,True,61.85,5,1,0
Clinic,Small,5,1-50,Weekly,True,61.32,False,False,56,Compromised Credentials,False,52.44,5,1,0
Hospital,Large,16,350+,Daily,False,53.65,True,True,13,Exploited Vulnerability,True,75.61,2,0,0
Hospital,Large,14,1-50,More than once per day,False,34.93,True,False,15,Compromised Credentials,False,54.04,3,0,0
Hospital,Medium,19,50-350,Daily,True,57.07,True,False,39,Exploited Vulnerability,True,62.56,3,0,0
Insurance,Large,14,350+,Daily,False,48.08,False,True,16,Exploited Vulnerability,True,75.96,5,0,0
Clinic,Small,9,1-50,Monthly,False,47.36,True,False,45,Exploited Vulnerability,False,22.56,1,2,0
Research Lab,Medium,6,50-350,Weekly,True,75.27,True,False,47,Phishing Email,True,45.12,6,1,0
Hospital,Medium,17,1-50,Weekly,True,77.72,True,False,84,Phishing Email,True,37.53,7,1,0
Pharma,Medium,19,50-350,Daily,False,46.23,True,False,28,Exploited Vulnerability,True,69.87,3,0,0
Insurance,Medium,12,50-350,Weekly,False,65.66,True,False,41,Compromised Credentials,True,44.87,2,0,0
Hospital,Medium,4,50-350,Daily,True,67.38,True,False,62,Compromised Credentials,True,42.08,5,0,0
Hospital,Large,16,1-50,Weekly,True,74.91,True,True,66,Exploited Vulnerability,True,47.01,7,0,0
Hospital,Large,11,1-50,More than once per day,True,49.21,True,True,46,Exploited Vulnerability,False,32.73,2,1,0
Hospital,Medium,22,1-50,Daily,True,74.31,True,False,98,Compromised Credentials,False,25.02,2,1,0
Clinic,Small,4,1-50,Daily,True,60.95,True,False,52,Exploited Vulnerability,False,12.06,3,2,0
Clinic,Medium,17,50-350,Daily,True,56.26,False,False,55,Phishing Email,False,40.68,6,1,0
Hospital,Large,8,350+,Monthly,False,47.66,True,False,14,Exploited Vulnerability,False,40.56,2,0,0
Clinic,Medium,14,50-350,Daily,False,50.88,True,False,38,Exploited Vulnerability,False,0.0,5,2,0
Hospital,Medium,2,50-350,Daily,True,43.02,True,False,33,Compromised Credentials,True,58.52,1,0,0
Hospital,Large,11,350+,Daily,True,59.54,True,False,30,Compromised Credentials,False,31.94,5,0,0
Hospital,Medium,11,50-350,Monthly,True,38.65,True,False,36,Compromised Credentials,True,66.76,4,0,0
Clinic,Small,24,350+,Daily,True,62.94,True,False,46,Exploited Vulnerability,False,39.4,5,2,0
Research Lab,Medium,22,50-350,Weekly,False,56.78,True,False,38,Exploited Vulnerability,False,24.84,4,0,0
Hospital,Large,24,1-50,Monthly,False,55.14,False,False,56,Phishing Email,False,27.47,3,1,0
Clinic,Small,6,1-50,Daily,True,46.22,True,False,57,Exploited Vulnerability,True,55.38,4,2,0
Clinic,Medium,21,50-350,Daily,True,32.81,True,False,40,Exploited Vulnerability,False,28.43,1,1,0
Hospital,Large,21,1-50,Daily,True,71.63,True,False,58,Exploited Vulnerability,True,55.42,7,0,0
Clinic,Small,14,1-50,Weekly,True,80.7,False,False,75,Compromised Credentials,False,31.25,7,1,0
Hospital,Medium,10,50-350,More than once per day,True,32.65,False,False,28,Exploited Vulnerability,False,52.58,3,1,0
Hospital,Medium,8,50-350,Daily,False,66.62,True,False,32,Compromised Credentials,True,40.42,7,0,0
Pharma,Medium,7,50-350,Weekly,False,56.09,False,False,25,Compromised Credentials,True,47.66,7,0,0
Pharma,Large,8,1-50,Weekly,True,56.59,True,True,48,Compromised Credentials,True,53.25,1,0,0
Insurance,Large,8,1-50,Daily,False,60.83,False,True,21,RDP Exploit,True,46.77,7,1,0
Hospital,Medium,23,50-350,Daily,False,65.55,True,False,56,Phishing Email,False,42.04,4,0,0
Hospital,Large,2,350+,Daily,False,66.07,True,True,14,Phishing Email,False,28.16,3,0,0
Clinic,Medium,16,50-350,Daily,False,65.19,True,False,44,Compromised Credentials,True,48.65,4,2,0
Clinic,Small,9,350+,Daily,True,53.05,True,False,31,Exploited Vulnerability,False,36.91,2,2,0
Hospital,Medium,13,50-350,Monthly,True,52.39,False,False,47,Infected Removable Media,False,31.3,1,1,0
Clinic,Medium,23,50-350,Daily,False,44.17,True,False,47,Exploited Vulnerability,True,64.32,2,2,0
Hospital,Medium,12,1-50,Monthly,False,68.1,True,False,49,Phishing Email,True,47.96,1,0,0
Pharma,Medium,22,50-350,Weekly,False,44.98,True,False,28,Compromised Credentials,False,31.97,1,0,0
Hospital,Medium,17,50-350,More than once per day,True,39.73,True,False,41,Exploited Vulnerability,True,71.89,3,1,0
Clinic,Medium,2,50-350,Weekly,True,45.75,True,True,39,Exploited Vulnerability,True,44.04,6,2,0
Hospital,Medium,13,50-350,More than once per day,True,42.79,True,True,29,RDP Exploit,True,44.52,2,1,0
Clinic,Medium,1,50-350,Monthly,True,58.81,False,False,43,Phishing Email,False,32.25,4,1,0
Clinic,Small,19,1-50,Monthly,True,73.41,True,False,77,Compromised Credentials,True,7.12,3,2,0
Hospital,Medium,11,50-350,Daily,True,65.84,True,False,63,Exploited Vulnerability,False,24.46,6,1,0
Pharma,Large,5,1-50,Daily,True,68.3,True,False,52,Exploited Vulnerability,False,33.25,1,0,0
Research Lab,Medium,1,350+,Daily,True,47.37,True,True,20,Exploited Vulnerability,True,73.16,4,1,0
Pharma,Large,20,1-50,Daily,True,39.04,True,True,50,Phishing Email,False,18.3,1,1,0
Insurance,Medium,13,1-50,Daily,True,59.08,False,False,70,Phishing Email,True,51.6,1,1,0
Clinic,Medium,8,50-350,Daily,True,52.48,True,False,35,Infected Removable Media,False,18.36,4,1,0
Pharma,Medium,6,50-350,Weekly,True,60.06,True,False,53,Compromised Credentials,False,35.93,5,1,0
Hospital,Medium,17,50-350,Daily,False,63.2,True,False,35,Compromised Credentials,True,54.95,4,0,0
